# x,y,z,label
68.8332,228.7571,60.0000,0.0000
21.6472,200.2343,47.3684,0.0000
218.9795,149.0010,10.0000,0.0000
155.2477,214.5772,60.0000,0.0000
28.7400,188.9344,41.3382,0.0000
125.4424,215.0000,51.5183,0.0000
223.0930,25.3932,10.0000,0.0000
71.6846,220.0032,60.0000,0.0000
150.4077,210.2885,14.7115,0.0000
15.2095,31.8413,10.0000,0.0000
172.8430,113.8704,10.0000,0.0000
188.0880,205.0000,40.4727,0.0000
272.2525,268.3323,10.0000,0.0000
44.3890,0.0000,11.2444,0.0000
155.0101,205.0000,53.1000,0.0000
33.8177,143.0542,35.2388,0.0000
120.0000,78.3805,18.2782,0.0000
122.3904,71.4386,11.4386,0.0000
70.1170,206.1306,60.0000,0.0000
0.0000,83.0661,6.9122,0.0000
43.3901,147.7060,39.2173,0.0000
280.0000,275.4097,5.3047,0.0000
58.4944,0.0000,7.4366,0.0000
151.0472,215.0000,41.3957,0.0000
22.8185,222.4834,25.8754,0.0000
104.8069,280.0000,5.1105,0.0000
250.0000,145.3567,21.8135,0.0000
241.1943,73.8303,13.8303,0.0000
250.0000,262.6734,10.2382,1.0000
75.8561,121.4403,13.0000,0.0000
163.3279,205.0000,51.0468,0.0000
120.0000,55.0254,18.2606,0.0000
157.2138,151.3973,10.0000,0.0000
209.9394,92.1939,20.0000,0.0000
63.4396,249.0697,36.7351,0.0000
128.7426,46.3590,20.0000,0.0000
64.1882,108.2152,13.0000,0.0000
123.5327,263.2360,10.0000,0.0000
143.8502,35.0000,15.2616,0.0000
246.7585,140.2937,10.0000,0.0000
79.9817,169.0029,10.4313,0.0000
250.0000,256.6898,40.3454,0.0000
224.3798,215.0000,20.0946,0.0000
130.8544,215.0000,14.4137,0.0000
99.2310,229.4269,10.0000,0.0000
250.0000,260.4928,41.4788,0.0000
154.3910,105.0000,15.2328,0.0000
226.2041,82.8744,20.0000,0.0000
65.7324,225.7008,60.0000,0.0000
117.8508,14.2314,10.0000,0.0000
162.3270,215.0000,33.7112,0.0000
128.9366,31.1623,10.0000,0.0000
144.8503,119.3052,10.0000,0.0000
53.0584,66.4749,13.0000,0.0000
6.0299,175.9617,10.0000,0.0000
190.9534,95.0322,20.0000,0.0000
250.0000,161.5438,35.9505,0.0000
93.9467,66.8211,10.0000,0.0000
250.0000,273.9386,52.0363,0.0000
142.3590,66.0574,13.9426,0.0000
80.0000,69.7479,10.1758,1.0000
205.2107,205.0000,25.0702,0.0000
100.8070,169.1273,10.0000,0.0000
75.4231,194.2153,46.5604,0.0000
260.0000,191.2864,10.9240,1.0000
138.6332,216.7742,10.0000,1.0000
260.0000,204.9815,40.9241,0.0000
21.9535,252.4013,20.5057,0.0000
199.8157,14.1301,10.0000,0.0000
205.4090,64.0257,15.9743,0.0000
20.0861,250.4162,11.0122,0.0000
148.9134,212.2126,12.7874,0.0000
155.3976,215.0000,10.2488,1.0000
84.7327,105.3605,10.0000,0.0000
103.4698,34.3699,10.0000,0.0000
260.0000,182.2625,26.6666,0.0000
209.6386,205.0000,52.1199,0.0000
174.3376,238.4594,10.0000,0.0000
250.0000,156.5732,42.0068,0.0000
243.3656,130.4846,10.0000,0.0000
203.9685,0.0000,2.3386,0.0000
122.4957,259.4840,10.0000,0.0000
165.0004,174.5733,10.0000,0.0000
135.1882,219.8271,10.0000,0.0000
175.1106,105.0000,10.1221,0.0000
79.8982,199.4830,12.3752,0.0000
83.9971,33.4227,10.0000,0.0000
222.0023,230.5839,10.0000,0.0000
214.5084,205.0000,57.5208,0.0000
58.2754,238.8274,43.6935,0.0000
73.8546,249.7549,28.1503,0.0000
64.0675,239.8429,36.4642,0.0000
118.1398,73.4035,10.0000,0.0000
254.8319,164.1132,60.0000,0.0000
78.5912,200.9786,22.5378,0.0000
101.1930,145.8086,10.0000,0.0000
83.4888,280.0000,3.8811,0.0000
218.0404,205.0000,30.9179,0.0000
0.0000,221.1599,5.8494,0.0000
140.3267,36.3686,20.0000,0.0000
265.8614,103.3621,10.0000,0.0000
71.8000,62.2664,13.0000,0.0000
186.2193,179.2432,10.0000,0.0000
67.7226,280.0000,5.9144,0.0000
199.4021,51.4871,20.0000,0.0000
229.0716,60.0784,19.9216,0.0000
133.1816,154.5312,10.0000,0.0000
158.2635,210.4591,10.0000,1.0000
193.3621,0.0000,2.9646,0.0000
35.0181,184.0626,49.3789,0.0000
251.8383,280.0000,18.3800,0.0000
191.4668,210.7625,14.2375,0.0000
250.0000,237.1160,53.1148,0.0000
72.4901,153.9151,29.7531,0.0000
79.1542,216.9878,21.2829,0.0000
101.6727,183.2970,10.0000,0.0000
190.3748,252.1311,10.0000,0.0000
14.5064,26.0456,10.0000,0.0000
78.2604,180.2697,20.0290,0.0000
145.6818,215.0000,55.8508,0.0000
141.4319,218.7383,10.0000,0.0000
260.0000,167.6257,35.7389,0.0000
235.8960,248.9400,10.0000,0.0000
209.8192,94.8600,20.0000,0.0000
119.3264,9.4361,10.0000,0.0000
200.4417,49.9357,20.0000,0.0000
0.0000,174.8839,7.1288,0.0000
68.6629,124.4275,13.0000,0.0000
212.7575,207.1849,17.8151,0.0000
125.5655,20.3609,10.0000,0.0000
63.7952,279.6323,36.5292,0.0000
267.7621,270.0449,10.0000,0.0000
207.8804,189.9037,10.0000,0.0000
239.1519,215.0000,32.5661,0.0000
230.6132,215.0000,47.1317,0.0000
257.5400,61.4174,18.5826,0.0000
250.0000,208.2446,15.1436,1.0000
194.7799,196.7225,10.0000,0.0000
141.9171,51.3816,20.0000,0.0000
143.8103,215.8389,10.0000,1.0000
185.6003,267.2603,10.0000,0.0000
21.1994,201.9360,38.8762,0.0000
192.4108,238.5061,10.0000,0.0000
128.8914,215.0000,57.1904,0.0000
161.7453,123.1571,10.0000,0.0000
5.5773,142.2234,10.0000,0.0000
250.0000,272.8682,32.0695,0.0000
251.5275,55.5401,20.0000,0.0000
106.0249,92.0933,10.0000,0.0000
0.0000,118.2074,5.7926,0.0000
126.2247,218.0115,10.0000,0.0000
125.7644,205.0000,54.2865,0.0000
41.0600,0.0000,1.2391,0.0000
0.0000,188.4124,3.8916,0.0000
60.5190,276.1145,37.9991,0.0000
51.1296,230.1045,60.0000,0.0000
260.0000,153.2896,20.2307,0.0000
210.3835,215.0000,43.9822,0.0000
158.6262,126.1787,10.0000,0.0000
41.9594,181.1920,57.7256,0.0000
180.3692,3.2750,10.0000,0.0000
203.1611,215.0000,29.5652,0.0000
42.5944,180.9802,52.9170,0.0000
32.7702,228.1603,60.0000,0.0000
256.4430,45.4545,20.0000,0.0000
50.1799,258.1014,39.9388,0.0000
28.2500,170.0314,30.5198,0.0000
116.0802,186.2798,10.0000,0.0000
163.2186,91.5392,20.0000,0.0000
131.0878,177.0801,10.0000,0.0000
43.4935,279.9191,39.2254,0.0000
120.0000,70.8891,10.1095,0.0000
275.5303,163.5811,10.0000,0.0000
59.5805,280.0000,31.1358,0.0000
250.0000,260.6661,28.3087,0.0000
251.1172,240.3860,60.0000,0.0000
186.7388,0.0000,0.2077,0.0000
244.9075,215.0000,32.5666,0.0000
127.5785,215.0000,10.4283,1.0000
260.0000,268.7696,17.8919,0.0000
235.0239,9.3881,10.0000,0.0000
153.1916,205.0000,48.5956,0.0000
260.0000,168.0374,47.2193,0.0000
72.2476,176.7706,30.0786,0.0000
128.6827,82.7882,20.0000,0.0000
192.6647,205.0000,27.3525,0.0000
103.3062,280.0000,6.1836,0.0000
250.0000,141.3465,23.6380,0.0000
198.1476,105.0000,14.6042,0.0000
190.3842,215.0000,35.3287,0.0000
260.0000,265.9328,58.4051,0.0000
7.3348,179.3462,10.0000,0.0000
108.7435,262.1992,10.0000,0.0000
250.0000,157.0438,57.7311,0.0000
32.2845,185.9103,55.5332,0.0000
56.2190,263.9353,39.2996,0.0000
193.8282,106.8750,10.0000,0.0000
134.9395,215.0000,37.9378,0.0000
202.1227,173.3003,10.0000,0.0000
131.3951,12.7202,10.0000,0.0000
130.0507,215.0000,57.2447,0.0000
250.0000,266.0754,50.2297,0.0000
93.6063,107.1399,10.0000,0.0000
178.3694,35.0000,16.9501,0.0000
49.8483,252.4680,39.9494,0.0000
63.2172,111.4309,13.0000,0.0000
117.9404,220.2268,10.0000,0.0000
181.5102,19.6723,10.0000,0.0000
168.3063,0.0000,5.3386,0.0000
280.0000,152.0040,1.0074,0.0000
202.8203,68.0775,11.9225,0.0000
78.9485,202.1643,36.8001,0.0000
204.8870,205.0000,58.2131,0.0000
176.8954,92.5358,20.0000,0.0000
200.8312,205.0000,49.9091,0.0000
260.0000,228.0328,32.7665,0.0000
280.0000,53.0155,9.5096,0.0000
162.2504,45.8286,20.0000,0.0000
0.0000,100.4118,6.4357,0.0000
21.5415,150.0821,19.4094,0.0000
53.5715,13.4608,13.0000,0.0000
101.4043,88.0741,10.0000,0.0000
230.8906,269.6144,10.0000,0.0000
260.0000,149.0281,19.4217,0.0000
193.2643,215.0000,41.3607,0.0000
53.5976,147.2050,39.7253,0.0000
260.0000,246.0471,32.3892,0.0000
110.7335,154.9999,10.0000,0.0000
210.4278,225.2716,10.0000,0.0000
92.9926,269.2414,10.0000,0.0000
179.1707,19.4918,10.0000,0.0000
260.0000,252.8585,48.8460,0.0000
154.6177,197.6977,10.0000,0.0000
93.0484,4.7644,10.0000,0.0000
20.3575,170.0093,14.5514,0.0000
44.3122,260.5020,39.4097,0.0000
250.0000,264.7619,27.2364,0.0000
220.0469,187.4981,10.0000,0.0000
22.3766,271.3829,21.4536,0.0000
71.0228,193.8552,60.0000,0.0000
200.4045,161.9631,10.0000,0.0000
72.5706,249.6478,29.7045,0.0000
280.0000,114.9755,2.3239,0.0000
32.6072,180.3274,34.3584,0.0000
235.9753,47.6530,20.0000,0.0000
42.3218,19.0511,13.0000,0.0000
260.0000,198.8760,37.0660,0.0000
8.0329,100.7429,10.0000,0.0000
0.0000,175.5989,3.4830,0.0000
210.9633,22.7376,10.0000,0.0000
40.3535,264.1312,38.3236,0.0000
80.7243,149.5824,10.0000,0.0000
159.0670,148.0406,10.0000,0.0000
75.2399,165.2952,26.1161,0.0000
67.7336,82.4241,13.0000,0.0000
179.4037,207.1219,17.8781,0.0000
22.9741,57.8190,13.0000,0.0000
225.1457,268.9453,10.0000,0.0000
44.3602,1.3214,13.0000,0.0000
135.8961,264.8953,10.0000,0.0000
0.0000,39.7882,7.9452,0.0000
20.0110,209.8671,41.7131,0.0000
23.0895,223.0379,58.1719,0.0000
0.0000,135.7145,5.0695,0.0000
64.1806,145.1270,36.3328,0.0000
213.3673,132.3247,10.0000,0.0000
250.0000,170.6124,34.6295,0.0000
69.6226,59.3787,13.0000,0.0000
88.8717,66.9655,10.0000,0.0000
135.4464,215.0000,56.4593,0.0000
41.2171,181.3809,47.0375,0.0000
49.6414,140.0000,33.8101,0.0000
125.8228,215.0000,50.6727,0.0000
180.2762,215.0000,56.1147,0.0000
145.8894,9.2659,10.0000,0.0000
209.4479,183.6862,10.0000,0.0000
134.1453,230.3098,10.0000,0.0000
79.3535,275.6961,15.8749,0.0000
187.9081,164.9777,10.0000,0.0000
199.4090,172.6536,10.0000,0.0000
30.9291,67.3623,13.0000,0.0000
0.1270,98.8935,10.0000,0.0000
45.1273,140.0000,33.5525,0.0000
236.3939,245.9136,10.0000,0.0000
111.2167,10.0171,10.0000,0.0000
98.4438,71.0652,10.0000,0.0000
279.1422,117.8190,10.0000,0.0000
172.3475,105.0000,19.1078,0.0000
280.0000,121.3309,5.3396,0.0000
0.0000,77.8174,3.5730,0.0000
260.0000,199.5172,13.8232,0.0000
163.5531,71.4882,11.4882,0.0000
185.0808,0.0000,4.6006,0.0000
265.5484,187.0911,10.0000,0.0000
6.9471,192.8798,10.0000,0.0000
211.7657,83.5920,20.0000,0.0000
245.5988,272.9971,10.0000,0.0000
164.4143,35.0000,12.7940,0.0000
66.6724,140.5475,34.9109,0.0000
193.4257,47.7992,20.0000,0.0000
260.0000,91.9373,16.6464,0.0000
223.5363,205.0000,45.3585,0.0000
250.0000,228.4255,55.8111,0.0000
217.1585,86.1830,20.0000,0.0000
20.4053,241.1700,14.8087,0.0000
34.2016,280.0000,6.3167,0.0000
245.4702,215.0000,55.1638,0.0000
176.6020,102.4892,20.0000,0.0000
13.0375,267.1034,10.0000,0.0000
260.0000,227.6955,15.9805,0.0000
259.6378,153.1847,60.0000,0.0000
262.6384,207.7610,10.0000,0.0000
155.5364,215.0000,14.4716,0.0000
190.4919,155.0232,10.0000,0.0000
100.1020,248.0492,10.0000,0.0000
38.0580,0.0000,10.6752,0.0000
163.8237,139.6764,10.0000,0.0000
22.9224,253.7391,22.6983,0.0000
172.0257,280.0000,6.3753,0.0000
114.4196,171.5689,10.0000,0.0000
100.4318,124.5493,10.0000,0.0000
196.6152,167.6492,10.0000,0.0000
15.6020,88.8400,10.0000,0.0000
189.1324,249.6187,10.0000,0.0000
20.2057,43.4894,13.0000,0.0000
46.9554,100.4301,13.0000,0.0000
162.6365,41.0410,20.0000,0.0000
159.0042,100.3744,20.0000,0.0000
78.2838,97.8855,13.0000,0.0000
246.5034,280.0000,4.4545,0.0000
260.0000,191.7469,34.5123,0.0000
79.7067,265.3072,13.5394,0.0000
250.0000,220.6173,11.4691,1.0000
173.6001,270.5080,10.0000,0.0000
62.0320,131.5995,13.0000,0.0000
42.4564,107.4646,13.0000,0.0000
138.7446,215.0000,42.9975,0.0000
119.5453,172.0020,10.0000,0.0000
280.0000,145.8985,9.4750,0.0000
210.3114,205.0000,47.3660,0.0000
144.8001,150.0609,10.0000,0.0000
4.0282,60.3851,10.0000,0.0000
250.0000,239.3769,32.5065,0.0000
20.1935,258.5608,12.2892,0.0000
60.7026,125.7613,13.0000,0.0000
36.2966,140.0000,34.4161,0.0000
190.0445,254.8561,10.0000,0.0000
237.7919,62.7771,17.2229,0.0000
216.6962,215.0000,10.0306,1.0000
199.8496,98.7291,20.0000,0.0000
202.0900,235.2622,10.0000,0.0000
195.4283,219.8650,10.0000,0.0000
25.4446,227.0500,47.7492,0.0000
198.2823,142.2316,10.0000,0.0000
37.7828,74.2269,13.0000,0.0000
250.0000,150.6975,40.6124,0.0000
144.2307,222.9455,10.0000,0.0000
211.8352,215.0000,37.2897,0.0000
2.6206,235.4023,10.0000,0.0000
280.0000,60.4170,7.2320,0.0000
260.0000,275.1003,35.4624,0.0000
52.6491,280.0000,2.3429,0.0000
280.0000,4.3125,9.5099,0.0000
260.0000,279.4349,14.0967,0.0000
144.2758,94.9855,20.0000,0.0000
251.4062,5.4967,10.0000,0.0000
0.0000,155.5080,2.5426,0.0000
156.5360,215.0000,12.7708,0.0000
222.0905,63.6228,16.3772,0.0000
78.4389,272.5090,19.4866,0.0000
69.0732,242.3350,33.1015,0.0000
46.1722,39.0787,13.0000,0.0000
280.0000,37.7943,6.4666,0.0000
187.2288,20.5768,10.0000,0.0000
260.0000,268.8257,40.0837,0.0000
74.2292,192.3715,47.4937,0.0000
64.8286,140.0000,28.6252,0.0000
263.6044,215.8376,10.0000,0.0000
79.8073,206.7834,37.1343,0.0000
60.0145,132.6198,13.0000,0.0000
206.7938,88.6740,20.0000,0.0000
242.0519,65.7105,14.2895,0.0000
72.1417,147.1703,30.1120,0.0000
260.0000,85.6029,15.7950,0.0000
260.0000,162.8247,38.2050,0.0000
81.1589,186.4217,10.0000,0.0000
21.5956,200.4522,56.6824,0.0000
280.0000,85.7434,8.0633,0.0000
87.5786,234.9227,10.0000,0.0000
104.3185,195.0788,10.0000,0.0000
21.8795,220.3679,34.0610,0.0000
62.1188,280.0000,7.5350,0.0000
203.3613,184.3398,10.0000,0.0000
138.9428,7.0703,10.0000,0.0000
241.2251,205.0000,27.7127,0.0000
250.0000,246.1604,22.7478,0.0000
206.2419,178.3996,10.0000,0.0000
150.2346,280.0000,0.1220,0.0000
208.7735,243.8301,10.0000,0.0000
165.3061,210.9978,14.0022,0.0000
109.2976,243.4123,10.0000,0.0000
260.0000,222.2203,12.5086,0.0000
56.6287,71.0260,13.0000,0.0000
49.5944,119.0530,13.0000,0.0000
250.0000,257.1968,58.2914,0.0000
119.4299,126.4691,10.0000,0.0000
68.4732,53.1400,13.0000,0.0000
190.0043,60.4242,19.5758,0.0000
267.4162,280.0000,5.9969,0.0000
0.0000,56.6350,1.3618,0.0000
230.5448,271.5599,10.0000,0.0000
80.4727,228.7390,10.0000,0.0000
246.1215,179.0379,10.0000,0.0000
165.5791,16.2626,10.0000,0.0000
207.6990,215.0000,47.3900,0.0000
142.3824,215.0000,38.4850,0.0000
20.1527,277.0600,11.8362,0.0000
185.5090,186.3003,10.0000,0.0000
0.0000,104.1564,8.8737,0.0000
158.1358,168.8610,10.0000,0.0000
250.0000,274.3966,38.9945,0.0000
174.3256,245.4138,10.0000,0.0000
78.4346,200.7498,59.9840,0.0000
232.0526,207.9865,10.0000,0.0000
202.0109,228.7317,10.0000,0.0000
181.2100,93.7048,20.0000,0.0000
280.0000,153.5002,4.8999,0.0000
104.9917,152.8136,10.0000,0.0000
180.8476,253.8545,10.0000,0.0000
100.0122,150.7978,10.0000,0.0000
64.7357,94.6359,13.0000,0.0000
61.2973,143.6350,37.7398,0.0000
165.7708,58.5999,20.0000,0.0000
224.3008,184.8222,10.0000,0.0000
151.1114,208.0245,16.9755,0.0000
173.8283,252.0478,10.0000,0.0000
106.0839,134.1607,10.0000,0.0000
280.0000,217.3952,4.3126,0.0000
116.6806,93.0585,10.0000,0.0000
74.1937,192.2983,43.4546,0.0000
79.9029,57.2532,13.0000,0.0000
250.0000,276.4438,22.4997,0.0000
170.9230,261.9730,10.0000,0.0000
247.2586,35.0000,12.0976,0.0000
131.0296,257.0182,10.0000,0.0000
58.9159,22.7572,13.0000,0.0000
190.7670,44.2163,20.0000,0.0000
13.8134,150.0820,10.0000,0.0000
137.0339,75.4119,15.4119,0.0000
125.0458,85.4662,20.0000,0.0000
166.4409,10.3277,10.0000,0.0000
63.5032,34.2100,13.0000,0.0000
45.6534,140.0000,31.8743,0.0000
240.2490,208.7239,60.0000,0.0000
20.7250,203.7862,45.6998,0.0000
197.0836,43.1040,20.0000,0.0000
90.3461,68.1807,10.0000,0.0000
22.7067,265.7561,22.2063,0.0000
85.9904,208.5836,10.0000,0.0000
79.4120,254.3073,15.7777,0.0000
77.7754,170.0428,21.2376,0.0000
260.0000,50.0230,18.3854,0.0000
148.4420,105.0000,10.9257,0.0000
256.2089,140.0000,39.0496,0.0000
270.3745,109.3674,10.0000,0.0000
168.6468,215.0000,26.9871,0.0000
260.0000,155.7274,59.1311,0.0000
167.2449,1.7996,10.0000,0.0000
250.0000,200.6164,46.8554,0.0000
239.4817,101.1435,20.0000,0.0000
247.5808,115.9472,10.0000,0.0000
250.0000,206.7238,16.2689,1.0000
194.0857,225.9278,10.0000,0.0000
145.0609,227.2749,10.0000,0.0000
101.4202,39.2082,10.0000,0.0000
172.0120,179.6596,10.0000,0.0000
26.5132,149.1098,28.6379,0.0000
19.1998,105.3550,10.0000,1.0000
79.9550,208.9398,57.3507,0.0000
171.0990,159.0101,10.0000,0.0000
239.3142,133.6432,10.0000,0.0000
27.5500,229.7979,42.0115,0.0000
112.6148,269.8963,10.0000,0.0000
34.1989,249.1930,35.4875,0.0000
126.9357,218.9958,10.0000,0.0000
131.0054,50.9327,20.0000,0.0000
260.0000,240.6188,37.9719,0.0000
276.8859,170.1284,10.0000,0.0000
77.0900,127.8851,13.0000,0.0000
260.0000,276.2167,36.0345,0.0000
188.6938,122.9902,10.0000,0.0000
147.7901,62.3597,17.6403,0.0000
225.3416,250.2444,10.0000,0.0000
113.7802,242.2399,10.0000,0.0000
161.3212,105.0000,17.9787,0.0000
213.9839,35.0793,20.0000,0.0000
195.2129,279.9193,10.0000,0.0000
239.9017,215.0000,18.6807,0.0000
217.8773,215.0000,57.1003,0.0000
188.0030,179.0388,10.0000,0.0000
49.8748,180.0142,44.8452,0.0000
26.5168,150.7181,28.6437,0.0000
76.4097,224.1413,39.4139,0.0000
21.2248,201.8315,28.2104,0.0000
190.2555,215.0000,38.5684,0.0000
32.5843,185.6958,58.0251,0.0000
250.0000,271.6514,33.9170,0.0000
56.3746,0.0000,3.3505,0.0000
105.5633,18.8007,10.0000,0.0000
18.2382,0.0000,6.4255,0.0000
150.6785,19.2904,10.0000,0.0000
38.2551,115.4273,13.0000,0.0000
140.3662,215.0000,24.3393,0.0000
151.5774,74.8961,14.8961,0.0000
68.9821,77.2889,13.0000,0.0000
90.9596,169.5361,10.0000,0.0000
156.4702,105.0000,10.9658,0.0000
260.0000,212.6153,59.9098,0.0000
174.7456,215.0000,37.4348,0.0000
120.7961,30.8360,10.0000,0.0000
260.0000,208.8014,29.7352,0.0000
185.2173,155.1325,10.0000,0.0000
272.8880,116.5786,10.0000,0.0000
149.5552,4.7269,10.0000,0.0000
239.8974,124.6419,10.0000,0.0000
61.5632,67.0961,13.0000,0.0000
242.1424,235.0007,10.0000,0.0000
25.7366,128.7305,13.0000,0.0000
43.9231,27.1670,13.0000,0.0000
94.4749,229.7732,10.0000,0.0000
118.0501,12.3364,10.0000,0.0000
258.9984,280.0000,33.9667,0.0000
88.1718,59.3016,10.0000,0.0000
226.3478,149.2190,10.0000,0.0000
137.4579,62.3406,17.6594,0.0000
247.0348,194.5873,10.0000,0.0000
83.0127,155.6273,10.0000,0.0000
250.0000,171.0821,30.0119,0.0000
250.0000,279.4000,15.3655,0.0000
136.5397,215.0000,39.6538,0.0000
26.7221,0.0000,12.2327,0.0000
229.8099,215.0000,26.4786,0.0000
0.0000,114.4101,2.4637,0.0000
166.6628,261.0663,10.0000,0.0000
250.0000,245.2526,21.7622,0.0000
5.6242,114.9745,10.0000,0.0000
45.4411,183.9743,60.0000,0.0000
156.0435,134.9417,10.0000,0.0000
250.0000,250.8489,53.2141,0.0000
208.4141,277.9833,10.0000,0.0000
250.0000,204.3139,41.7300,1.0000
260.0000,226.9669,51.9271,0.0000
24.6417,26.5766,13.0000,0.0000
150.3003,208.1120,60.0000,0.0000
20.0149,19.2155,13.0000,0.0000
164.2122,105.0000,14.8996,0.0000
33.1350,130.1667,13.0000,0.0000
21.2792,201.6266,18.3858,1.0000
222.3501,129.8754,10.0000,0.0000
260.6101,15.9108,10.0000,0.0000
6.6417,166.5784,10.0000,0.0000
248.0236,154.8950,10.0000,0.0000
102.4935,191.0597,10.0000,0.0000
129.6892,98.4502,20.0000,0.0000
256.2828,212.9935,60.0000,0.0000
79.9055,11.5780,13.0000,0.0000
42.8081,140.0180,39.1108,0.0000
60.3867,280.0000,30.0639,0.0000
62.5252,31.6606,13.0000,0.0000
